Team,team name,state,whites,non-whites,population
TEX,Texas Rangers,Arkansas,78,21.9,2958208
TBR,Tampa Bay (Devil) Rays,Florida,76,24,19645772
NYY,New York Yankees,New Jersey,68.3,31.6,8904413
BOS,Boston Red Caps,Connecticut,77.3,22.6,3593222
STL,St. Louis Cardinals,Missouri,82.6,17.3,6045448
TOR,Toronto Blue Jays,Canada,#N/A,#N/A,#N/A
CIN,Cincinnati Red,Ohio,82.4,17.6,11575977
COL,Colorado Rockies,Colorado,84.2,15.7,5278906
DET,Detroit Tigers,Michigan,79,20.9,9900571
ATL,Atlanta Braves,Georgia,60.2,39.7,10006693
WSN,Washington Nationals,Washington,77.8,22.2,6985464
CLE,Cleveland Indians,Ohio,82.4,17.6,11575977
MIN,Minnesota Twins,Minnesota,84.8,15.1,5419171
PHI,Philadelphia Phillies,Pennsylvania,81.6,18.4,12779559
MIL,Milwaukee Brewers,Wisconsin,86.5,13.5,5742117
SFG,San Francisco Giants,California,61.8,38.1,38421464
CHW,Chicago White Sox,Illinois,72.3,27.5,12873761
OAK,Oakland Athletics,California,61.8,38.1,38421464
HOU,Houston Astros,Texas,74.9,25.2,26538614
ARI,Arizona Diamondbacks,Arizona,78.4,21.5,6641928
NYM,New York Mets,New York,64.6,35.5,19673174
2TM,,,#N/A,#N/A,#N/A
SDP,San Diego Padres,California,61.8,38.1,38421464
FLA,Florida Marlins,Florida,76,24,19645772
LAD,Los Angeles Dodgers,California,61.8,38.1,38421464
PIT,Pittsburgh Pirates,Pennsylvania,81.6,18.4,12779559
BAL,Baltimore Orioles,Maryland,57.6,42.4,5930538
CHC,Chicago Cubs,Illinois,72.3,27.5,12873761
SEA,Seattle Mariners,Washington,77.8,22.2,6985464
KCR, Kansas City Royals,Missouri,82.6,17.3,6045448
LAA,Los Angeles Angels,California,61.8,38.1,38421464
3TM,,,#N/A,#N/A,#N/A
MIA,Miami Marlins,Florida,76,24,19645772
4TM,,,#N/A,#N/A,#N/A
